FID,LAK_ID,RES_ID,GLWD_ID,HYLAK_ID,GRAND_ID,INT_CODE,LAKE_NAME,COUNTRY,LONG_DD,LAT_DD,LisfloodX,LisfloodY,CATCH_SKM,CATCH_SRC,AREA_SKM,AREA_SRC,WIDTH_M,WIDTH_SRC,DISAVG_CMS,DIS_SRC
97,97,,1433,1609,,,Danau Ranau,Indonesia,103.9199,-4.812,103.925,-4.825,505.4,HYLAK,125.35,HYLAK,5.4,GLOFAS4,27.3448,GLOFAS4_ltr
98,98,,1458,1217,,,,Russia,137.116,50.3254,137.125,50.325,1487.1,HYLAK,110.95,HYLAK,5.4,GLOFAS4,20.8562,GLOFAS4_ltr
99,99,,1503,1456,,,Chang,China,112.8211,30.395,112.525,30.375,3044.8,HYLAK,128.23,HYLAK,5.4,GLOFAS4,48.5942,GLOFAS4_ltr
100,100,,1516,1178,,,Baunt,Russia,113.0963,55.2677,113.075,55.275,10256.4,HYLAK,112.44,HYLAK,5.4,GLOFAS4,78.6509,GLOFAS4_ltr
101,101,,1555,1480,,,Indawngy,Myanmar,96.3677,25.2146,96.325,25.225,689.1,HYLAK,119.62,HYLAK,5.4,GLOFAS4,35.3133,GLOFAS4_ltr
102,102,,1558,15413,,,,China,116.2356,28.6132,116.175,28.575,17092,HYLAK,62.61,HYLAK,437.3,GLOFAS4,477.7388,GLOFAS4_ltr
103,103,,1576,275,,,Birch,Canada,-121.4858,64.66,-121.475,64.625,15188.9,HYLAK,115.14,HYLAK,222.3,GLOFAS4,53.7522,GLOFAS4_ltr
104,104,,1600,321,,,Fish,Canada,-122.8021,63.1063,-122.775,63.075,1971,HYLAK,116.63,HYLAK,5.4,GLOFAS4,20.7103,GLOFAS4_ltr
105,105,,1606,1091,,,,Russia,66.1271,64.3772,66.125,64.475,1237.3,HYLAK,103.4,HYLAK,5.4,GLOFAS4,12.8448,GLOFAS4_ltr
106,106,,1621,2588,,,,Canada,-116.9367,67.3668,-116.925,67.375,1382.2,HYLAK,83.92,HYLAK,5.4,GLOFAS4,8.8945,GLOFAS4_ltr
107,107,,1624,1115,,,,Russia,65.3312,62.6978,65.175,62.675,997.6,HYLAK,130.37,HYLAK,5.4,GLOFAS4,9.7984,GLOFAS4_ltr
108,108,,1629,331,,,Bulmer,Canada,-120.645,62.7742,-120.575,62.775,593.6,HYLAK,111.63,HYLAK,5.4,GLOFAS4,3.6025,GLOFAS4_ltr
109,109,,1636,11366,,,,Russia,91.5162,68.6038,91.475,68.575,3099.4,HYLAK,54.41,HYLAK,5.4,GLOFAS4,62.8288,GLOFAS4_ltr
110,110,,1658,1359,,,Dongping,China,116.2073,36.1178,116.225,36.075,9587.9,HYLAK,139.85,HYLAK,94,GLOFAS4,57.3051,GLOFAS4_ltr
111,111,,1666,221,,,,Canada,-131.848,67.6272,-131.875,67.625,1826.4,HYLAK,112.85,HYLAK,5.4,GLOFAS4,7.8458,GLOFAS4_ltr
112,112,,1671,1589,,,Danau Singkarak,Indonesia,100.551,-0.5646,100.575,-0.575,1130.7,HYLAK,108.05,HYLAK,5.4,GLOFAS4,63.9817,GLOFAS4_ltr
113,113,,1675,1063,,,Temchi,Russia,95.1329,66.6039,95.125,66.625,4055.2,HYLAK,108.98,HYLAK,5.4,GLOFAS4,57.5043,GLOFAS4_ltr
114,114,,1709,1134,,,,Russia,67.2215,61.6591,67.225,61.675,4262,HYLAK,155.56,HYLAK,5.4,GLOFAS4,45.5375,GLOFAS4_ltr
115,115,,1789,1327,,,Tudakolâ,Uzbekistan,63.9031,39.1944,64.2247,39.0248,4562,HYLAK,295.78,HYLAK,5.4,GLOFAS4,1.3168,GLOFAS4_ltr
116,116,,2,5,,,Superior,United States of America,-84.4605,46.4686,-84.375,46.525,209220,HYLAK,81843.9,HYLAK,694,GLOFAS4,1762.3731,GLOFAS4_ltr
117,117,,5,8,,,Huron,United States of America,-82.4226,42.9994,-82.425,43.025,576018,HYLAK,59399.3,HYLAK,643.4,GLOFAS4,5537.6723,GLOFAS4_ltr
118,118,,6,6,,,Michigan,United States of America,-84.7539,45.8229,-84.775,45.825,176006,HYLAK,57726.8,HYLAK,636.1,GLOFAS4,1759.94,GLOFAS4_ltr
119,119,,11,3,,,Great Slave,Canada,-117.6171,61.3117,-117.625,61.325,995312,HYLAK,26734.3,HYLAK,2096.4,GLOFAS4,4404.5678,GLOFAS4_ltr
120,120,,12,9,,,Erie,United States of America,-78.9081,42.9043,-78.925,42.825,679903,HYLAK,25767.8,HYLAK,1400.6,GLOFAS4,6381.4572,GLOFAS4_ltr
123,123,,23,33,,,Athabasca,Canada,-111.2005,58.7045,-111.175,58.725,291489,HYLAK,7528.73,HYLAK,688.5,GLOFAS4,1230.1252,GLOFAS4_ltr
125,125,,31,52,,,Winnipegosis,Canada,-99.6538,51.8858,-99.675,51.875,53350.1,HYLAK,5035.51,HYLAK,186.1,GLOFAS4,90.3876,GLOFAS4_ltr
126,126,,37,53,,,Manitoba,Canada,-98.7288,51.5879,-98.725,51.575,79354.2,HYLAK,4751.05,HYLAK,224.1,GLOFAS4,112.5939,GLOFAS4_ltr
128,128,,44,57,,,Woods,Canada,-94.5184,49.7644,-94.525,49.775,69313.9,HYLAK,3472.81,HYLAK,2156,GLOFAS4,452.2722,GLOFAS4_ltr
129,129,,83,29,,,Nueltin,Canada,-98.9653,60.8268,-98.975,60.825,27056.3,HYLAK,1917.62,HYLAK,1422.3,GLOFAS4,191.338,GLOFAS4_ltr
131,131,,124,30,,,Kasba,Canada,-102.1456,60.5755,-102.175,60.525,14582.2,HYLAK,1330.11,HYLAK,160.8,GLOFAS4,82.3894,GLOFAS4_ltr
132,132,,127,41,,,La Ronge,Canada,-104.5579,55.3169,-104.525,55.325,15256.8,HYLAK,1296.47,HYLAK,1635.5,GLOFAS4,43.3886,GLOFAS4_ltr
134,134,,146,66,,,Saint Clair,Canada,-82.9431,42.348,-82.975,42.325,592711,HYLAK,1161.17,HYLAK,1295.8,GLOFAS4,5891.3837,GLOFAS4_ltr
135,135,,147,42,,,Lesser Slave,Canada,-114.7734,55.3068,-114.775,55.325,13479,HYLAK,1186.51,HYLAK,119.3,GLOFAS4,44.7025,GLOFAS4_ltr
136,136,,153,70,,,Chapala,Mexico,-102.7938,20.3136,-102.775,20.325,43691.9,HYLAK,1051.7,HYLAK,133.7,GLOFAS4,165.0064,GLOFAS4_ltr
137,137,,155,530,,,Bienville,Canada,-73.2752,54.9748,-73.275,54.975,14437.3,HYLAK,962.67,HYLAK,1048.2,GLOFAS4,212.1533,GLOFAS4_ltr
138,138,,165,64,,,Champlain,Canada,-73.3349,45.0546,-73.325,45.075,21344.2,HYLAK,1141.3,HYLAK,2121.7,GLOFAS4,367.8549,GLOFAS4_ltr
139,139,,172,44,,,Gods,Canada,-94.0834,54.8361,-94.075,54.825,26706.4,HYLAK,1024.08,HYLAK,256.6,GLOFAS4,177.3265,GLOFAS4_ltr
140,140,,213,578,,,Playgreen,Canada,-97.7735,54.0549,-97.8733,53.7235,925908,HYLAK,759.81,HYLAK,8004.2,GLOFAS4,2243.7379,GLOFAS4_ltr
141,141,,222,498,,,Peter Pond,Canada,-108.4647,55.8311,-108.475,55.825,13602.7,HYLAK,827.51,HYLAK,867.5,GLOFAS4,27.4864,GLOFAS4_ltr
142,142,,224,452,,,Minto,Canada,-73.4771,57.6771,-73.625,57.625,9996.5,HYLAK,774.91,HYLAK,159,GLOFAS4,112.5201,GLOFAS4_ltr
143,143,,251,548,,,,Canada,-97.8753,54.7004,-97.875,54.725,938735,HYLAK,286.17,HYLAK,777.1,GLOFAS4,2310.1502,GLOFAS4_ltr
144,144,,264,335,,,Kamilukuak,Canada,-101.8313,62.5149,-101.875,62.475,4483.1,HYLAK,660.74,HYLAK,869.3,GLOFAS4,42.009,GLOFAS4_ltr
145,145,,281,547,,,Dore,Canada,-107.5865,54.706,-107.575,54.725,2524.2,HYLAK,627.55,HYLAK,5.4,GLOFAS4,3.993,GLOFAS4_ltr
146,146,,285,644,,,St. Joseph,Canada,-90.2282,51.1896,-90.275,51.125,12423.5,HYLAK,506.21,HYLAK,3706.6,GLOFAS4,71.6165,GLOFAS4_ltr
147,147,,288,489,,,,Canada,-100.489,55.9761,-100.525,56.125,228619,HYLAK,491.06,HYLAK,816.9,GLOFAS4,767.1121,GLOFAS4_ltr
148,148,,299,397,,,Buffalo,Canada,-115.2585,60.354,-115.225,60.375,15811.8,HYLAK,553.24,HYLAK,5.4,GLOFAS4,51.7252,GLOFAS4_ltr
149,149,,323,499,,,Churchill,Canada,-108.3746,55.8166,-108.375,55.825,21084.7,HYLAK,543.87,HYLAK,1274.1,GLOFAS4,38.1467,GLOFAS4_ltr
150,150,,324,346,,,Angikuni,Canada,-99.595,62.2722,-99.575,62.275,38626.4,HYLAK,525.56,HYLAK,679.5,GLOFAS4,252.0054,GLOFAS4_ltr
151,151,,333,425,,,Black,Canada,-105.539,59.1503,-105.525,59.125,50193,HYLAK,443.84,HYLAK,291,GLOFAS4,315.682,GLOFAS4_ltr
153,153,,351,641,,,Dauphin,Canada,-99.9531,51.438,-99.975,51.425,8948.4,HYLAK,515.73,HYLAK,77.7,GLOFAS4,12.4879,GLOFAS4_ltr
154,154,,353,423,,,Payne,Canada,-73.1488,59.2217,-73.275,59.275,8264.2,HYLAK,487.93,HYLAK,142.8,GLOFAS4,72.9252,GLOFAS4_ltr
155,155,,356,604,,,Sandy,Canada,-92.551,53.0877,-92.575,53.075,22439.5,HYLAK,483.51,HYLAK,784.3,GLOFAS4,173.0751,GLOFAS4_ltr
156,156,,363,471,,,Granville,Canada,-100.0456,56.4918,-100.075,56.475,239625,HYLAK,419.54,HYLAK,816.9,GLOFAS4,887.9782,GLOFAS4_ltr
157,157,,366,746,,,Mille Lacs,United States of America,-93.6548,46.1154,-93.675,46.075,1067.8,HYLAK,516.15,HYLAK,5.4,GLOFAS4,6.0459,GLOFAS4_ltr
160,160,,391,493,,,Ile-a-la-Crosse,Canada,-107.728,55.9257,-107.775,55.875,78584.4,HYLAK,431.88,HYLAK,180.7,GLOFAS4,112.1218,GLOFAS4_ltr
161,161,,404,482,,,,Canada,-108.2048,56.1528,-108.225,56.125,5826.6,HYLAK,426.86,HYLAK,86.7,GLOFAS4,12.6659,GLOFAS4_ltr
162,162,,406,4556,,,,Canada,-134.5099,60.5401,-134.525,60.575,19100.9,HYLAK,94.9,HYLAK,589.2,GLOFAS4,245.2836,GLOFAS4_ltr
163,163,,409,536,,,Primrose,Canada,-109.6946,54.8436,-109.675,54.825,3378.7,HYLAK,436.35,HYLAK,5.4,GLOFAS4,8.2696,GLOFAS4_ltr
164,164,,420,,,,,,,,-118.625,61.325,978500,GLWD,440.3,GLWD,2103.6,GLOFAS4,4493.5126,GLOFAS4_ltr
165,165,,423,744,,,St. Peter,Canada,-72.5872,46.2921,-72.675,46.275,986435,HYLAK,333.51,HYLAK,1935.5,GLOFAS4,10884.7034,GLOFAS4_ltr
166,166,,454,565,,,Molson,Canada,-96.6934,54.3137,-96.725,54.325,3209.7,HYLAK,394.73,HYLAK,5.4,GLOFAS4,19.0199,GLOFAS4_ltr
167,167,,464,780,,,Goose Lake,United States of America,-120.4571,41.7212,-120.425,41.725,2790.6,HYLAK,427.91,HYLAK,5.4,GLOFAS4,2.1887,GLOFAS4_ltr
168,168,,474,500,,,Pinehouse,Canada,-106.1865,55.777,-106.225,55.775,106295,HYLAK,379.1,HYLAK,2727.1,GLOFAS4,233.1505,GLOFAS4_ltr
169,169,,490,394,,,Teslin,Canada,-133.2632,60.4507,-133.275,60.475,22000.4,HYLAK,355.58,HYLAK,487.9,GLOFAS4,286.0269,GLOFAS4_ltr
170,170,,493,668,,,,Canada,-77.67,50.3341,-77.625,50.275,60257.7,HYLAK,119.91,HYLAK,4606.6,GLOFAS4,990.5283,GLOFAS4_ltr
171,171,,501,557,,,Stuart,Canada,-124.2702,54.4197,-124.275,54.425,14172.4,HYLAK,357.88,HYLAK,263.9,GLOFAS4,129.1883,GLOFAS4_ltr
172,172,,508,551,,,Cold,Canada,-109.8452,54.567,-109.825,54.575,6543.5,HYLAK,346.85,HYLAK,77.7,GLOFAS4,14.6293,GLOFAS4_ltr
173,173,,516,615,,,North Caribou,Canada,-90.8133,52.8601,-90.825,52.875,2464.3,HYLAK,319.54,HYLAK,5.4,GLOFAS4,20.1915,GLOFAS4_ltr
174,174,,529,532,,,Oxford,Canada,-95.2771,54.9516,-95.275,54.925,8389.3,HYLAK,338.65,HYLAK,126.5,GLOFAS4,48.9903,GLOFAS4_ltr
175,175,,538,635,,,St. Martin,Canada,-98.3202,51.8228,-98.325,51.825,81744.3,HYLAK,331.34,HYLAK,1639.1,GLOFAS4,110.4824,GLOFAS4_ltr
178,178,,565,695,,,Okanagan,Canada,-119.6094,49.5029,-119.625,49.525,5963.2,HYLAK,348.59,HYLAK,126.5,GLOFAS4,17.1284,GLOFAS4_ltr
179,179,,569,377,,,,Canada,-117.4299,60.9377,-117.375,60.925,13560.8,HYLAK,333.45,HYLAK,202.4,GLOFAS4,48.6971,GLOFAS4_ltr
180,180,,570,683,,,Goeland,Canada,-76.9171,49.8424,-76.875,49.825,30239.9,HYLAK,349.26,HYLAK,1912,GLOFAS4,511.0946,GLOFAS4_ltr
181,181,,572,760,,,Yellowstone Lake,United States of America,-110.3847,44.5643,-110.375,44.625,2579.2,HYLAK,340.47,HYLAK,5.4,GLOFAS4,23.0429,GLOFAS4_ltr
182,182,,582,653,,,Shuswap,Canada,-119.5603,50.8819,-119.575,50.875,15277.9,HYLAK,306.27,HYLAK,307.2,GLOFAS4,266.5792,GLOFAS4_ltr
183,183,,584,407,,,"Lakes Nuyakuk, Tikchik, Chauekuktuli",United States of America,-158.1913,59.9358,-158.175,59.925,4382.9,HYLAK,241.83,HYLAK,5.4,GLOFAS4,125.1005,GLOFAS4_ltr
184,184,,607,613,,,,Canada,-89.0027,52.898,-88.975,52.875,11461.3,HYLAK,273.17,HYLAK,193.4,GLOFAS4,97.172,GLOFAS4_ltr
186,186,,619,437,,,Tadouie,Canada,-98.2406,58.714,-98.225,58.725,16596.5,HYLAK,296.02,HYLAK,162.6,GLOFAS4,113.9732,GLOFAS4_ltr
187,187,,624,618,,,Swan,Canada,-100.7491,52.6423,-100.775,52.625,10035.2,HYLAK,307.92,HYLAK,271.1,GLOFAS4,31.5762,GLOFAS4_ltr
188,188,,625,609,,,,Canada,-87.6945,52.9572,-87.725,52.925,18667.2,HYLAK,119.09,HYLAK,587.3,GLOFAS4,152.649,GLOFAS4_ltr
189,189,,628,455,,,,Canada,-97.161,57.3099,-97.175,57.325,275224,HYLAK,123.92,HYLAK,1100.6,GLOFAS4,89.7452,GLOFAS4_ltr
190,190,,633,737,,,Timiskaming,Canada,-79.462,47.2871,-79.425,47.275,30637.3,HYLAK,204,HYLAK,478.9,GLOFAS4,393.9624,GLOFAS4_ltr
191,191,,653,625,,,,Canada,-87.5931,52.1614,-87.475,52.175,21713.7,HYLAK,199.73,HYLAK,265.7,GLOFAS4,198.3801,GLOFAS4_ltr
192,192,,677,778,,,Bear Lake,United States of America,-111.3177,42.1212,-111.325,42.175,1022.2,HYLAK,281.36,HYLAK,5.4,GLOFAS4,4.8881,GLOFAS4_ltr
193,193,,691,639,,,,Canada,-75.2248,51.4835,-75.225,51.475,27460.5,HYLAK,183.2,HYLAK,386.7,GLOFAS4,528.0568,GLOFAS4_ltr
194,194,,693,342,,,Aggikani,Canada,-100.5121,62.3585,-100.525,62.375,26846.3,HYLAK,282.3,HYLAK,5.4,GLOFAS4,58.6799,GLOFAS4_ltr
195,195,,716,599,,,Eutsuk,Canada,-126.1157,53.2346,-126.175,53.225,2554.5,HYLAK,250.32,HYLAK,5.4,GLOFAS4,60.7367,GLOFAS4_ltr
196,196,,720,503,,,,Canada,-105.1945,55.6688,-105.125,55.625,116779,HYLAK,211.42,HYLAK,339.8,GLOFAS4,277.4501,GLOFAS4_ltr
197,197,,728,614,,,Red Deer,Canada,-101.1871,52.8854,-101.225,52.875,13968.7,HYLAK,260.08,HYLAK,155.4,GLOFAS4,26.7278,GLOFAS4_ltr
198,198,,734,579,,,,Canada,-125.0078,54.009,-124.975,54.025,3995.9,HYLAK,253.03,HYLAK,5.4,GLOFAS4,10.6236,GLOFAS4_ltr
199,199,,739,700,,,Harrison,Canada,-121.8021,49.3146,-121.775,49.325,7841.8,HYLAK,221.98,HYLAK,345.2,GLOFAS4,397.2974,GLOFAS4_ltr
200,200,,745,619,,,Quesnel,Canada,-121.548,52.6055,-121.625,52.625,6041.5,HYLAK,270.64,HYLAK,213.3,GLOFAS4,123.8746,GLOFAS4_ltr
201,201,,752,501,,,,Canada,-101.5911,55.7706,-101.625,55.775,219831,HYLAK,225.63,HYLAK,533.1,GLOFAS4,719.9977,GLOFAS4_ltr
202,202,,753,497,,,,Canada,-106.7699,55.8372,-106.775,55.825,94231.3,HYLAK,120.69,HYLAK,289.2,GLOFAS4,188.0588,GLOFAS4_ltr
205,205,,766,,,,,,,,-91.225,29.725,8300,GLWD,247.1,GLWD,928.9,GLOFAS4,3356.1684,GLOFAS4_ltr
206,206,,768,444,,,Brochet,Canada,-101.4065,58.5452,-101.375,58.575,25937,HYLAK,240.73,HYLAK,206,GLOFAS4,126.0427,GLOFAS4_ltr
208,208,,772,528,,,Takla,Canada,-125.5079,55.0604,-125.525,55.075,5654.1,HYLAK,245.91,HYLAK,197,GLOFAS4,78.4445,GLOFAS4_ltr
209,209,,782,445,,,Pasfield,Canada,-105.1789,58.4921,-105.225,58.525,697.2,HYLAK,235.33,HYLAK,5.4,GLOFAS4,4.0581,GLOFAS4_ltr
210,210,,810,524,,,Plonge,Canada,-107.5045,55.188,-107.525,55.175,791.6,HYLAK,238.32,HYLAK,5.4,GLOFAS4,1.5988,GLOFAS4_ltr
211,211,,837,632,,,Waterhen,Canada,-99.5518,51.858,-99.575,51.925,54778.7,HYLAK,160.03,HYLAK,191.6,GLOFAS4,92.1336,GLOFAS4_ltr
212,212,,858,6046,,,,Canada,-103.4701,55.4506,-103.475,55.475,139354,HYLAK,72.19,HYLAK,2747,GLOFAS4,349.7044,GLOFAS4_ltr
213,213,,908,475,,,Loche,Canada,-109.4284,56.4047,-109.425,56.425,1297.8,HYLAK,208,HYLAK,5.4,GLOFAS4,1.8306,GLOFAS4_ltr
214,214,,925,563,,,Beaver Hill,Canada,-94.8658,54.3646,-94.875,54.375,17910.5,HYLAK,179,HYLAK,216.9,GLOFAS4,132.7575,GLOFAS4_ltr
215,215,,927,522,,,Knee,Canada,-94.3027,55.2079,-94.375,55.175,11936,HYLAK,281.69,HYLAK,151.8,GLOFAS4,61.9402,GLOFAS4_ltr
216,216,,929,849,,,Lake George,United States of America,-81.6564,29.3892,-81.675,29.425,9991.4,HYLAK,185.24,HYLAK,1120.5,GLOFAS4,150.2992,GLOFAS4_ltr
217,217,,940,365,,,Laberge,Canada,-135.2241,61.3713,-135.125,61.425,31035.8,HYLAK,197.68,HYLAK,684.9,GLOFAS4,331.9494,GLOFAS4_ltr
